"HOT_SPOT"|"hot spot Wi-Fi gratis"|"Free Wifi hotSpot"
"BUS_STOP"|"Fermate Autobus"|"Bus Stop"
"PICCOLI_TURISTI"|"Itinerari per Bambini"|"Itinerary for Kids"
"musei"|"Musei"|"Museums"
"monumenti"|"Monumenti"|"monuments"
"nome italiano"|"nome inglese"
"catacombe"|"Catacombe"|"Catacombs"
"cattolici"|"Chiese Cattoliche"|"Catholic Churches"
"teatri"|"theatres"
"cinema"|"cinema"
"fontane"|"fountains"
"palazzi"|"palaces"
"eventi e spettacoli"|"events and shows"
"sepolcri"|"sepulchres"
"ville e aree archeologiche"|"villas and archaeological areas"
"luoghi di interesse"|"places of interest"
"palazzi"|"palaces"
"ponti"|"bridges"
"statue"|"statues"
"vie e piazze"|"streets and squares"
"gallerie private"|"private galleries"
"musei"|"museums"
"sedi espositive"|"exhibition venues"
"accademie e istituti"|"academies and institutes"
"archivi"|"archives"
"biblioteche"|"libraries"
"case della cultura"|"houses of culture"
"going informagiovani"|"going informagiovani"
"ludoteche"|"children's recreation centres"
"itinerari"|"itineraries"
"anglicani"|"luoghi di culto anglicani"|"anglican religious places"
"buddhisti"|"luoghi di culto buddisti"|"buddhistreligious places"
"ebraici"|"luoghi di culto ebraici"|"hebrew religious places"
"evangelici"|"luoghi di culto evangelici"|"evangelical religious places"
"musulmani"|"luoghi di culto musulmani"|"muslim religious places"
"ortodossi"|"luoghi di culto ortodossi"|"orthodox religious places"
"protestanti"|"luoghi di culto protestanti"|"protestant religious places"
"valdesi"|"luoghi di culto valdesi"|"waldenses religious places"
"ballo"|"dance"
"musica dal vivo"|"live music"
"sale da concerto"|"concert halls"
"sedi fieristiche"|"fair venues"
"spazi aperti"|"open spaces"
"spazi polifunzionali"|"multipurpose spaces"
"teatri"|"theatres"
"punti panoramici"|"panoramic points"
"antiquari"|"antique shops"
"botteghe artigianali"|"artisan workshops"
"botteghe storiche"|"historical workshops"
"centri commerciali"|"shopping centres"
"grandi magazzini"|"department stores"
"libri, musica e video"|"books, music and videos"
"mercati e mercatini"|"markets and local markets"
"supermercati"|"supermarkets"
"centri benessere"|"spa"
"coni e federazioni"|"CONI e federazioni"|"CONI and leagues"
"impianti"|"sport centres"
"parchi di divertimento"|"amusement parks"
"stabilimenti balneari"|"Beach structures"
"strutture culturali"|"cultural structures"
"giardini, ville e parchi urbani"|"gardens, villas and urban parks"
"riserve e parchi naturali"|"reserves and natural parks"
"eventi e spettacoli"|"events and shows"
"incontri"|"meetings"
"visite guidate e didattica"|"guided tours and educational visits"
"mostre"|"exhibitions"
"manifestazioni"|"manifestations"
"danza"|"dance"
"teatro"|"theater"
"musica"|"music"
"sport"|"sport"